"Data Source","World Development Indicators",

"Last Updated Date","2020-03-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Cuba","CUB","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.3","","","","","56.5","","","","","55","54.7","54.4","54","53.8","54","53.3","","","",
"Curacao","CUW","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.7","","","","","58.6","","","","","55.4","54.8","54.1","53.8","53.3","53.1","52.7","","","",
"Czech Republic","CZE","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","","","","","39.6","","","","","39.1","38.9","38.7","38.6","38.5","38.6","38.3","","","",
"Germany","DEU","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.1","","","","","37.7","","","","","35.5","35.2","34.8","34.5","33.7","33.5","33.1","","","",
"Djibouti","DJI","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.2","","","","","29.4","","","","","26.9","26.5","26.1","25.6","25.3","24.8","24.5","","","",
"Dominica","DMA","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.7","","","","","33.1","","","","","25.7","24.2","22.9","22","20.8","19.8","18.8","","","",
"Dominican Republic","DOM","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","","","","","20.9","","","","","20","19.8","19.6","19.5","19.3","19.1","19.1","","","",
"Algeria","DZA","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.4","","","","","28","","","","","28.8","29.1","29.4","29.6","29.8","30.2","30.4","","","",
"East Asia & Pacific (excluding high income)","EAP","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.0000725468322","","","","","53.8468396927685","","","","","52.1859342219907","51.5553560805484","51.5700445163028","51.2509053502394","51.001684837017","50.7040961428422","50.5103202376178","","","",
"Early-demographic dividend","EAR","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.3305189226662","","","","","35.9595778037129","","","","","33.2829545431902","32.755355299225","32.3170673033097","31.9338916854003","31.4694038429531","31.1924419852536","30.8008303878845","","","",
"East Asia & Pacific","EAS","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.5357516895506","","","","","52.9756192585385","","","","","50.9744470671785","50.3096671480122","50.2500658923132","49.8801733976699","49.5806659651869","49.2406445797199","48.9895731515206","","","",
"Europe & Central Asia (excluding high income)","ECA","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.668715252321","","","","","56.0518702979275","","","","","51.8961237939751","51.1561772278549","50.3519849742863","49.6260235247865","48.838954048728","48.100221685686","47.3553124709126","","","",
"Europe & Central Asia","ECS","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.7358359512394","","","","","45.7306724867364","","","","","42.1648693677443","41.5671825583974","40.8923469688593","40.2765789952124","39.5970837431059","38.9981475723842","38.3712188580091","","","",
"Ecuador","ECU","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.1","","","","","18.4","","","","","15.2","14.7","14.2","13.7","13.2","12.7","12.3","","","",
"Egypt, Arab Rep.","EGY","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.5","","","","","37.8","","","","","43.1","43.9","44.8","46.3","47.6","48.9","50.1","","","",
"Euro area","EMU","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.2359530120999","","","","","38.2108993769503","","","","","35.4060839967694","34.9475447689151","34.410429702853","33.9336517149785","33.367849664817","32.8901155378506","32.4742686613576","","","",
"Eritrea","ERI","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.4","","","","","15.2","","","","","13.3","12.9","12.7","12.4","12.1","11.8","11.4","","","",
"Spain","ESP","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.3","","","","","41.6","","","","","36.6","35.6","34.8","33.9","33.1","32","31.4","","","",
"Estonia","EST","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.7","","","","","49.5","","","","","44.6","43.5","42.8","41.9","41","40.1","39.3","","","",
"Ethiopia","ETH","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.2","","","","","8.9","","","","","8.7","8.6","8.6","8.5","8.4","8.5","8.5","","","",
"European Union","EUU","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.1047674983935","","","","","38.4457971140225","","","","","35.1298493629089","34.5842355961694","33.9621882950188","33.4004408965514","32.7731182078454","32.2610122715489","31.7179681475968","","","",
"Fragile and conflict affected situations","FCS","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.6","","","","","30.1","","","","","26.6","25.7","25.1","24.4","23.8","23.2","22.6","","","",
"Fiji","FJI","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.6","","","","","46.7","","","","","40.8","39.5","38.7","37.4","36.4","35.6","34.8","","","",
"France","FRA","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.8","","","","","38.4","","","","","37","36.8","36.4","36.2","35.9","35.8","35.6","","","",
"Faroe Islands","FRO","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
